"","months","neighbourhood_cleansed","price","state"
"1",2020-04-01,"Colac Otway",240.569856985699,"Victoria"
"2",2020-05-01,"Colac Otway",241.603456068126,"Victoria"
"3",2020-06-01,"Colac Otway",241.497589295704,"Victoria"
"4",2020-07-01,"Colac Otway",248.533066338093,"Victoria"
"5",2020-08-01,"Colac Otway",252.174389669665,"Victoria"
"6",2020-09-01,"Colac Otway",255.815713001237,"Victoria"
"7",2020-10-01,"Colac Otway",248.281155120367,"Victoria"
"8",2020-11-01,"Colac Otway",259.627595448123,"Victoria"
"9",2020-12-01,"Colac Otway",288.592983003431,"Victoria"
"10",2021-01-01,"Colac Otway",282.820881204311,"Victoria"
"11",2021-02-01,"Colac Otway",270.950683221282,"Victoria"
"12",2021-03-01,"Colac Otway",272.163086420822,"Victoria"
"13",2021-04-01,"Colac Otway",283.545497346,"Victoria"
"14",2020-04-01,"Corangamite",174.980676328502,"Victoria"
"15",2020-05-01,"Corangamite",173.738546497685,"Victoria"
"16",2020-06-01,"Corangamite",173.959008276542,"Victoria"
"17",2020-07-01,"Corangamite",179.292602804726,"Victoria"
"18",2020-08-01,"Corangamite",181.580249014593,"Victoria"
"19",2020-09-01,"Corangamite",183.86789522446,"Victoria"
"20",2020-10-01,"Corangamite",188.390926537952,"Victoria"
"21",2020-11-01,"Corangamite",194.999049097487,"Victoria"
"22",2020-12-01,"Corangamite",210.301592624153,"Victoria"
"23",2021-01-01,"Corangamite",207.804927716594,"Victoria"
"24",2021-02-01,"Corangamite",204.12153298616,"Victoria"
"25",2021-03-01,"Corangamite",209.044557797815,"Victoria"
"26",2021-04-01,"Corangamite",211.431062960651,"Victoria"
"27",2020-04-01,"Glenelg",133.385714285714,"Victoria"
"28",2020-05-01,"Glenelg",133.793702427539,"Victoria"
"29",2020-06-01,"Glenelg",134.112719985539,"Victoria"
"30",2020-07-01,"Glenelg",136.580708412345,"Victoria"
"31",2020-08-01,"Glenelg",137.887327705562,"Victoria"
"32",2020-09-01,"Glenelg",139.193946998778,"Victoria"
"33",2020-10-01,"Glenelg",143.404878872309,"Victoria"
"34",2020-11-01,"Glenelg",144.170035119186,"Victoria"
"35",2020-12-01,"Glenelg",147.310369623155,"Victoria"
"36",2021-01-01,"Glenelg",154.559358686589,"Victoria"
"37",2021-02-01,"Glenelg",151.642125824725,"Victoria"
"38",2021-03-01,"Glenelg",154.479532953854,"Victoria"
"39",2021-04-01,"Glenelg",154.585816759127,"Victoria"
"40",2020-04-01,"Greater Geelong",218.689306358382,"Victoria"
"41",2020-05-01,"Greater Geelong",219.659815912821,"Victoria"
"42",2020-06-01,"Greater Geelong",220.350796351998,"Victoria"
"43",2020-07-01,"Greater Geelong",227.595717394821,"Victoria"
"44",2020-08-01,"Greater Geelong",231.21259762549,"Victoria"
"45",2020-09-01,"Greater Geelong",234.829477856158,"Victoria"
"46",2020-10-01,"Greater Geelong",235.83227492694,"Victoria"
"47",2020-11-01,"Greater Geelong",244.974079375923,"Victoria"
"48",2020-12-01,"Greater Geelong",259.340879242489,"Victoria"
"49",2021-01-01,"Greater Geelong",266.989218594105,"Victoria"
"50",2021-02-01,"Greater Geelong",262.013791271058,"Victoria"
"51",2021-03-01,"Greater Geelong",262.675193615893,"Victoria"
"52",2021-04-01,"Greater Geelong",270.243664869383,"Victoria"
"53",2020-04-01,"Moyne",234.725941422594,"Victoria"
