"","months","neighbourhood_cleansed","price","state"
"1",2020-05-01,"Altona",90,"New South Wales"
"2",2020-06-01,"Altona",90,"New South Wales"
"3",2020-07-01,"Altona",109,"New South Wales"
"4",2020-08-01,"Altona",109.662995803378,"New South Wales"
"5",2020-09-01,"Altona",114.907017661762,"New South Wales"
"6",2020-10-01,"Altona",309,"New South Wales"
"7",2020-11-01,"Altona",313.5,"New South Wales"
"8",2020-12-01,"Altona",321.048387096774,"New South Wales"
"9",2021-01-01,"Altona",314.548387096774,"New South Wales"
"10",2021-02-01,"Altona",313.048387096774,"New South Wales"
"11",2021-03-01,"Altona",311.693548387096,"New South Wales"
"12",2021-04-01,"Altona",251.462365591397,"New South Wales"
"13",2020-05-01,"Angaston",209.25,"New South Wales"
"14",2020-06-01,"Angaston",208.333333333333,"New South Wales"
"15",2020-07-01,"Angaston",206.959183673469,"New South Wales"
"16",2020-08-01,"Angaston",209.308849503645,"New South Wales"
"17",2020-09-01,"Angaston",210.229819607236,"New South Wales"
"18",2020-10-01,"Angaston",209.26,"New South Wales"
"19",2020-11-01,"Angaston",210.16,"New South Wales"
"20",2020-12-01,"Angaston",213.470588235294,"New South Wales"
"21",2021-01-01,"Angaston",209.666666666667,"New South Wales"
"22",2021-02-01,"Angaston",212.346153846154,"New South Wales"
"23",2021-03-01,"Angaston",214.557692307692,"New South Wales"
"24",2021-04-01,"Angaston",216.830188679245,"New South Wales"
"25",2020-05-01,"Bethany",200,"New South Wales"
"26",2020-06-01,"Bethany",200,"New South Wales"
"27",2020-07-01,"Bethany",200.5,"New South Wales"
"28",2020-08-01,"Bethany",199.664535833224,"New South Wales"
"29",2020-09-01,"Bethany",200.466907171503,"New South Wales"
"30",2020-10-01,"Bethany",199.5,"New South Wales"
"31",2020-11-01,"Bethany",199.5,"New South Wales"
"32",2020-12-01,"Bethany",199.5,"New South Wales"
"33",2021-01-01,"Bethany",199.5,"New South Wales"
"34",2021-02-01,"Bethany",199.5,"New South Wales"
"35",2021-03-01,"Bethany",199.5,"New South Wales"
"36",2021-04-01,"Bethany",222,"New South Wales"
"37",2020-05-01,"Buchfelde",249,"New South Wales"
"38",2020-06-01,"Buchfelde",251,"New South Wales"
"39",2020-07-01,"Buchfelde",249,"New South Wales"
"40",2020-08-01,"Buchfelde",249.688642063776,"New South Wales"
"41",2020-09-01,"Buchfelde",249.699749193837,"New South Wales"
"42",2020-10-01,"Buchfelde",249.71049802938,"New South Wales"
"43",2020-11-01,"Buchfelde",249.721605159441,"New South Wales"
"44",2020-12-01,"Buchfelde",249.732353994983,"New South Wales"
"45",2021-01-01,"Buchfelde",249.743461125044,"New South Wales"
"46",2021-02-01,"Buchfelde",249.754568255105,"New South Wales"
"47",2021-03-01,"Buchfelde",249.764600501612,"New South Wales"
"48",2021-04-01,"Buchfelde",249.775707631673,"New South Wales"
"49",2020-05-01,"Cockatoo Valley",211,"New South Wales"
"50",2020-06-01,"Cockatoo Valley",211,"New South Wales"
"51",2020-07-01,"Cockatoo Valley",212,"New South Wales"
"52",2020-08-01,"Cockatoo Valley",210.806238011532,"New South Wales"
"53",2020-09-01,"Cockatoo Valley",210.663617645082,"New South Wales"
"54",2020-10-01,"Cockatoo Valley",210,"New South Wales"
"55",2020-11-01,"Cockatoo Valley",210,"New South Wales"
"56",2020-12-01,"Cockatoo Valley",210,"New South Wales"
"57",2021-01-01,"Cockatoo Valley",210,"New South Wales"
"58",2021-02-01,"Cockatoo Valley",210,"New South Wales"
"59",2021-03-01,"Cockatoo Valley",209.5,"New South Wales"
"60",2021-04-01,"Cockatoo Valley",217.5,"New South Wales"
"61",2020-10-01,"Concordia",107.5,"New South Wales"
"62",2020-11-01,"Concordia",109,"New South Wales"
"63",2020-12-01,"Concordia",109,"New South Wales"
"64",2021-01-01,"Concordia",109,"New South Wales"
"65",2021-02-01,"Concordia",109,"New South Wales"
"66",2021-03-01,"Concordia",109,"New South Wales"
"67",2021-04-01,"Concordia",89.5,"New South Wales"
"68",2020-05-01,"Eden Valley",165.333333333333,"New South Wales"
"69",2020-06-01,"Eden Valley",165.333333333333,"New South Wales"
"70",2020-07-01,"Eden Valley",166.333333333333,"New South Wales"
"71",2020-08-01,"Eden Valley",163.426302986433,"New South Wales"
"72",2020-09-01,"Eden Valley",163.054290235439,"New South Wales"
"73",2020-10-01,"Eden Valley",160,"New South Wales"
"74",2020-11-01,"Eden Valley",160,"New South Wales"
"75",2020-12-01,"Eden Valley",160,"New South Wales"
"76",2021-01-01,"Eden Valley",160,"New South Wales"
"77",2021-02-01,"Eden Valley",176.6,"New South Wales"
"78",2021-03-01,"Eden Valley",178.166666666667,"New South Wales"
"79",2021-04-01,"Eden Valley",184.166666666667,"New South Wales"
"80",2020-05-01,"Flaxman Valley",161,"New South Wales"
"81",2020-06-01,"Flaxman Valley",166.166666666667,"New South Wales"
"82",2020-07-01,"Flaxman Valley",165.666666666667,"New South Wales"
"83",2020-08-01,"Flaxman Valley",165.627775430185,"New South Wales"
"84",2020-09-01,"Flaxman Valley",166.260282347245,"New South Wales"
"85",2020-10-01,"Flaxman Valley",167.833333333333,"New South Wales"
"86",2020-11-01,"Flaxman Valley",168.166666666667,"New South Wales"
"87",2020-12-01,"Flaxman Valley",167.747609273315,"New South Wales"
"88",2021-01-01,"Flaxman Valley",167.396407147517,"New South Wales"
"89",2021-02-01,"Flaxman Valley",170.711871688386,"New South Wales"
"90",2021-03-01,"Flaxman Valley",170.227990198418,"New South Wales"
"91",2021-04-01,"Flaxman Valley",169.376788072621,"New South Wales"
"92",2020-05-01,"Freeling",210,"New South Wales"
"93",2020-06-01,"Freeling",210,"New South Wales"
"94",2020-07-01,"Freeling",210,"New South Wales"
"95",2020-08-01,"Freeling",210,"New South Wales"
"96",2020-09-01,"Freeling",210,"New South Wales"
"97",2020-10-01,"Freeling",210,"New South Wales"
"98",2020-11-01,"Freeling",210,"New South Wales"
"99",2020-12-01,"Freeling",210,"New South Wales"
"100",2021-01-01,"Freeling",210,"New South Wales"
"101",2021-02-01,"Freeling",210,"New South Wales"
"102",2021-03-01,"Freeling",210,"New South Wales"
"103",2021-04-01,"Freeling",210,"New South Wales"
"104",2020-05-01,"Gawler River",90,"New South Wales"
"105",2020-06-01,"Gawler River",67.5,"New South Wales"
"106",2020-07-01,"Gawler River",67.5,"New South Wales"
"107",2020-08-01,"Gawler River",73.4266761268275,"New South Wales"
"108",2020-09-01,"Gawler River",75.0691964966892,"New South Wales"
"109",2020-10-01,"Gawler River",82.5,"New South Wales"
"110",2020-11-01,"Gawler River",82.5,"New South Wales"
"111",2020-12-01,"Gawler River",82.5,"New South Wales"
"112",2021-01-01,"Gawler River",82.5,"New South Wales"
"113",2021-02-01,"Gawler River",82.5,"New South Wales"
"114",2021-03-01,"Gawler River",82.5,"New South Wales"
"115",2021-04-01,"Gawler River",82.5,"New South Wales"
"116",2020-05-01,"Greenock",210.6,"New South Wales"
"117",2020-06-01,"Greenock",210.4,"New South Wales"
"118",2020-07-01,"Greenock",211.2,"New South Wales"
"119",2020-08-01,"Greenock",213.25814427213,"New South Wales"
"120",2020-09-01,"Greenock",214.692815300477,"New South Wales"
"121",2020-10-01,"Greenock",217.136581870297,"New South Wales"
"122",2020-11-01,"Greenock",217.238767466858,"New South Wales"
"123",2020-12-01,"Greenock",217.337656753852,"New South Wales"
"124",2021-01-01,"Greenock",217.439842350412,"New South Wales"
"125",2021-02-01,"Greenock",221.080832400724,"New South Wales"
"126",2021-03-01,"Greenock",202.201750016394,"New South Wales"
"127",2021-04-01,"Greenock",210.308871926733,"New South Wales"
"128",2020-05-01,"Hewett",70,"New South Wales"
"129",2020-06-01,"Hewett",68.5,"New South Wales"
"130",2020-07-01,"Hewett",68.5,"New South Wales"
"131",2020-08-01,"Hewett",67.9367647132409,"New South Wales"
"132",2020-09-01,"Hewett",67.2134718355381,"New South Wales"
"133",2020-10-01,"Hewett",67,"New South Wales"
"134",2020-11-01,"Hewett",67,"New South Wales"
"135",2020-12-01,"Hewett",65.6270187916685,"New South Wales"
"136",2021-01-01,"Hewett",64.5695896383279,"New South Wales"
"137",2021-02-01,"Hewett",63.5121604849872,"New South Wales"
"138",2021-03-01,"Hewett",62.5570631851956,"New South Wales"
"139",2021-04-01,"Hewett",61.499634031855,"New South Wales"
"140",2020-12-01,"Kalbeeba",180,"New South Wales"
"141",2021-01-01,"Kalbeeba",180,"New South Wales"
"142",2021-02-01,"Kalbeeba",180,"New South Wales"
"143",2021-03-01,"Kalbeeba",180,"New South Wales"
"144",2021-04-01,"Kalbeeba",180,"New South Wales"
"145",2020-05-01,"Kapunda",277,"New South Wales"
"146",2020-06-01,"Kapunda",277.666666666667,"New South Wales"
"147",2020-07-01,"Kapunda",277.166666666667,"New South Wales"
"148",2020-08-01,"Kapunda",277.277746404517,"New South Wales"
