"","months","neighbourhood_cleansed","price","city","state"
"1",2020-05-01,"Ashfield",98.6060606060606,"sydney","New South Wales"
"2",2020-05-01,"Auburn",120.655246252677,"sydney","New South Wales"
"3",2020-05-01,"Bankstown",87.3498233215548,"sydney","New South Wales"
"4",2020-05-01,"Blacktown",80.4025559105431,"sydney","New South Wales"
"5",2020-05-01,"Botany Bay",106.801515151515,"sydney","New South Wales"
"6",2020-05-01,"Burwood",87.8901515151515,"sydney","New South Wales"
"7",2020-05-01,"Camden",107.632653061224,"sydney","New South Wales"
"8",2020-05-01,"Campbelltown",106.157894736842,"sydney","New South Wales"
"9",2020-05-01,"Canada Bay",125.75,"sydney","New South Wales"
"10",2020-05-01,"Canterbury",91.4808743169399,"sydney","New South Wales"
"11",2020-05-01,"City Of Kogarah",103.527093596059,"sydney","New South Wales"
"12",2020-05-01,"Fairfield",86.2173913043478,"sydney","New South Wales"
"13",2020-05-01,"Holroyd",93.7373737373737,"sydney","New South Wales"
"14",2020-05-01,"Hornsby",110.477168949772,"sydney","New South Wales"
"15",2020-05-01,"Hunters Hill",164.52380952381,"sydney","New South Wales"
"16",2020-05-01,"Hurstville",97.58,"sydney","New South Wales"
"17",2020-05-01,"Ku-Ring-Gai",125.449367088608,"sydney","New South Wales"
"18",2020-05-01,"Lane Cove",124.533333333333,"sydney","New South Wales"
"19",2020-05-01,"Leichhardt",158.853121175031,"sydney","New South Wales"
"20",2020-05-01,"Liverpool",117.576158940397,"sydney","New South Wales"
"21",2020-05-01,"Manly",183.652698863636,"sydney","New South Wales"
"22",2020-05-01,"Marrickville",113.5614927905,"sydney","New South Wales"
"23",2020-05-01,"Mosman",170.611859838275,"sydney","New South Wales"
"24",2020-05-01,"North Sydney",146.0300081103,"sydney","New South Wales"
"25",2020-05-01,"Parramatta",102.298093587522,"sydney","New South Wales"
"26",2020-05-01,"Penrith",123.936416184971,"sydney","New South Wales"
"27",2020-05-01,"Pittwater",203.965151515152,"sydney","New South Wales"
"28",2020-05-01,"Randwick",132.877611940299,"sydney","New South Wales"
"29",2020-05-01,"Rockdale",103.942760942761,"sydney","New South Wales"
"30",2020-05-01,"Ryde",102.199712643678,"sydney","New South Wales"
"31",2020-05-01,"Strathfield",85.5714285714286,"sydney","New South Wales"
"32",2020-05-01,"Sutherland Shire",152.027833001988,"sydney","New South Wales"
"33",2020-05-01,"Sydney",144.305878445699,"sydney","New South Wales"
"34",2020-05-01,"The Hills Shire",101.954692556634,"sydney","New South Wales"
"35",2020-05-01,"Warringah",158.678498293515,"sydney","New South Wales"
"36",2020-05-01,"Waverley",157.352875613018,"sydney","New South Wales"
"37",2020-05-01,"Willoughby",133.504184100418,"sydney","New South Wales"
"38",2020-05-01,"Woollahra",156.604294478528,"sydney","New South Wales"
"39",2020-06-01,"Ashfield",98.2491467576792,"sydney","New South Wales"
"40",2020-06-01,"Auburn",117.838709677419,"sydney","New South Wales"
"41",2020-06-01,"Bankstown",88.3225806451613,"sydney","New South Wales"
"42",2020-06-01,"Blacktown",79.0332225913621,"sydney","New South Wales"
"43",2020-06-01,"Botany Bay",104.936630602782,"sydney","New South Wales"
"44",2020-06-01,"Burwood",86.1976744186046,"sydney","New South Wales"
"45",2020-06-01,"Camden",106.76,"sydney","New South Wales"
"46",2020-06-01,"Campbelltown",108.309734513274,"sydney","New South Wales"
"47",2020-06-01,"Canada Bay",125.336470588235,"sydney","New South Wales"
"48",2020-06-01,"Canterbury",91.0743801652893,"sydney","New South Wales"
"49",2020-06-01,"City Of Kogarah",106.490196078431,"sydney","New South Wales"
"50",2020-06-01,"Fairfield",85.3510638297872,"sydney","New South Wales"
"51",2020-06-01,"Holroyd",92.5656565656566,"sydney","New South Wales"
"52",2020-06-01,"Hornsby",107.5,"sydney","New South Wales"
"53",2020-06-01,"Hunters Hill",163.558139534884,"sydney","New South Wales"
