"","months","neighbourhood_cleansed","price","city","state"
"1",2020-05-01,"Break O'Day",179.419795221843,"Tasmania","Tasmania"
"2",2020-05-01,"Brighton",119.133333333333,"Tasmania","Tasmania"
"3",2020-05-01,"Burnie",110.852941176471,"Tasmania","Tasmania"
"4",2020-05-01,"Central Coast",132.275590551181,"Tasmania","Tasmania"
"5",2020-05-01,"Central Highlands",166.577777777778,"Tasmania","Tasmania"
"6",2020-05-01,"Circular Head",170.1875,"Tasmania","Tasmania"
"7",2020-05-01,"Clarence",153.286153846154,"Tasmania","Tasmania"
"8",2020-05-01,"Derwent Valley",144.069444444444,"Tasmania","Tasmania"
"9",2020-05-01,"Devonport",149.053191489362,"Tasmania","Tasmania"
"10",2020-05-01,"Dorset",176.558823529412,"Tasmania","Tasmania"
"11",2020-05-01,"Flinders",191.928571428571,"Tasmania","Tasmania"
"12",2020-05-01,"George Town",178.146341463415,"Tasmania","Tasmania"
"13",2020-05-01,"Glamorgan/Spring Bay",201.059431524548,"Tasmania","Tasmania"
"14",2020-05-01,"Glenorchy",111.983193277311,"Tasmania","Tasmania"
"15",2020-05-01,"Hobart",158.606974552309,"Tasmania","Tasmania"
"16",2020-05-01,"Huon Valley",164.343949044586,"Tasmania","Tasmania"
"17",2020-05-01,"Kentish",145.111111111111,"Tasmania","Tasmania"
"18",2020-05-01,"King Island",200.866666666667,"Tasmania","Tasmania"
"19",2020-05-01,"Kingborough",165.397350993377,"Tasmania","Tasmania"
"20",2020-05-01,"Latrobe",155.298245614035,"Tasmania","Tasmania"
"21",2020-05-01,"Launceston",138.367864693446,"Tasmania","Tasmania"
"22",2020-05-01,"Meander Valley",143.734693877551,"Tasmania","Tasmania"
"23",2020-05-01,"Northern Midlands",143.024691358025,"Tasmania","Tasmania"
"24",2020-05-01,"Sorell",146.980392156863,"Tasmania","Tasmania"
"25",2020-05-01,"Southern Midlands",139.75,"Tasmania","Tasmania"
"26",2020-05-01,"Tasman",150.992063492063,"Tasmania","Tasmania"
"27",2020-05-01,"Waratah/Wynyard",142.451612903226,"Tasmania","Tasmania"
"28",2020-05-01,"West Coast",154.349514563107,"Tasmania","Tasmania"
"29",2020-05-01,"West Tamar",146.398550724638,"Tasmania","Tasmania"
"30",2020-06-01,"Break O'Day",179.536082474227,"Tasmania","Tasmania"
"31",2020-06-01,"Brighton",118.533333333333,"Tasmania","Tasmania"
"32",2020-06-01,"Burnie",110.217391304348,"Tasmania","Tasmania"
"33",2020-06-01,"Central Coast",131.75,"Tasmania","Tasmania"
"34",2020-06-01,"Central Highlands",170.5,"Tasmania","Tasmania"
"35",2020-06-01,"Circular Head",169.618556701031,"Tasmania","Tasmania"
"36",2020-06-01,"Clarence",153.105769230769,"Tasmania","Tasmania"
"37",2020-06-01,"Derwent Valley",143.698630136986,"Tasmania","Tasmania"
"38",2020-06-01,"Devonport",145.775510204082,"Tasmania","Tasmania"
"39",2020-06-01,"Dorset",177.969465648855,"Tasmania","Tasmania"
"40",2020-06-01,"Flinders",187.333333333333,"Tasmania","Tasmania"
"41",2020-06-01,"George Town",178.780487804878,"Tasmania","Tasmania"
"42",2020-06-01,"Glamorgan/Spring Bay",201.431168831169,"Tasmania","Tasmania"
