"","months","price","state"
"1",2020-05-01,225.341844806452,"New South Wales"
"2",2020-06-01,225.258652475852,"New South Wales"
"3",2020-07-01,226.647369372188,"New South Wales"
"4",2020-08-01,228.232251794,"New South Wales"
"5",2020-09-01,229.601972369975,"New South Wales"
"6",2020-10-01,228.580577033348,"New South Wales"
"7",2020-11-01,232.916186453577,"New South Wales"
"8",2020-12-01,235.865240870791,"New South Wales"
"9",2021-01-01,233.673259295039,"New South Wales"
"10",2021-02-01,235.513708831861,"New South Wales"
"11",2021-03-01,236.99358527444,"New South Wales"
"12",2021-04-01,240.547037674387,"New South Wales"
