"","months","price","state"
"1",2020-04-01,292.994081433271,"New South Wales"
"2",2020-05-01,280.403328393785,"New South Wales"
"3",2020-06-01,293.958671460648,"New South Wales"
"4",2020-07-01,297.36044259001,"New South Wales"
"5",2020-08-01,289.58881613033,"New South Wales"
"6",2020-09-01,300.140490541122,"New South Wales"
"7",2020-10-01,299.161803479942,"New South Wales"
"8",2020-11-01,298.799215320869,"New South Wales"
"9",2020-12-01,340.281777705968,"New South Wales"
"10",2021-01-01,323.131556107828,"New South Wales"
"11",2021-02-01,305.364712418933,"New South Wales"
"12",2021-03-01,306.122049332935,"New South Wales"
