"","months","price","state"
"1",2020-05-01,150.739672540727,"western australia"
"2",2020-06-01,150.860222775638,"western australia"
"3",2020-07-01,152.5532878635,"western australia"
"4",2020-08-01,153.734728035767,"western australia"
"5",2020-09-01,154.916168208034,"western australia"
"6",2020-10-01,153.119943742071,"western australia"
"7",2020-11-01,154.09183673567,"western australia"
"8",2020-12-01,165.974157978351,"western australia"
"9",2021-01-01,162.192513438468,"western australia"
"10",2021-02-01,159.987791789966,"western australia"
"11",2021-03-01,158.472597726581,"western australia"
"12",2021-04-01,163.007245189656,"western australia"
