"","months","price","city","state"
"1",2020-05-01,117.453805913907,"Melbourne","Victoria"
"2",2020-06-01,117.149533138045,"Melbourne","Victoria"
"3",2020-07-01,113.472683313847,"Melbourne","Victoria"
"4",2020-08-01,111.291308831998,"Melbourne","Victoria"
"5",2020-09-01,111.643608556262,"Melbourne","Victoria"
"6",2020-10-01,112.270845224734,"Melbourne","Victoria"
"7",2020-11-01,113.119849231269,"Melbourne","Victoria"
"8",2020-12-01,117.506697900017,"Melbourne","Victoria"
"9",2021-01-01,116.233625062713,"Melbourne","Victoria"
"10",2021-02-01,116.664109650855,"Melbourne","Victoria"
"11",2021-03-01,116.095549515882,"Melbourne","Victoria"
"12",2021-04-01,116.696558625674,"Melbourne","Victoria"
