"","months","price","state"
"1",2020-04-01,247.85550654593,"Victoria"
"2",2020-05-01,249.060271031056,"Victoria"
"3",2020-06-01,249.148562982917,"Victoria"
"4",2020-07-01,254.641736953635,"Victoria"
"5",2020-08-01,257.600434928203,"Victoria"
"6",2020-09-01,260.559132902772,"Victoria"
"7",2020-10-01,258.188599522961,"Victoria"
"8",2020-11-01,263.20761475551,"Victoria"
"9",2020-12-01,277.638452882255,"Victoria"
"10",2021-01-01,278.087738573868,"Victoria"
"11",2021-02-01,272.217211148539,"Victoria"
"12",2021-03-01,273.033918290869,"Victoria"
"13",2021-04-01,280.778236228623,"Victoria"
