"","months","neighbourhood_cleansed","price","state"
"1",2020-04-01,"BALLINA SHIRE COUNCIL",271.385382059801,"New South Wales"
"2",2020-05-01,"BALLINA SHIRE COUNCIL",232.262857142857,"New South Wales"
"3",2020-06-01,"BALLINA SHIRE COUNCIL",242.85811965812,"New South Wales"
"4",2020-08-01,"BALLINA SHIRE COUNCIL",238.915309278351,"New South Wales"
"5",2020-09-01,"BALLINA SHIRE COUNCIL",255.367865748709,"New South Wales"
"6",2020-10-01,"BALLINA SHIRE COUNCIL",253.647230215827,"New South Wales"
"7",2020-11-01,"BALLINA SHIRE COUNCIL",259.494680851064,"New South Wales"
"8",2020-12-01,"BALLINA SHIRE COUNCIL",320.729310344828,"New South Wales"
"9",2021-01-01,"BALLINA SHIRE COUNCIL",300.652317880795,"New South Wales"
"10",2021-02-01,"BALLINA SHIRE COUNCIL",296.980738362761,"New South Wales"
"11",2021-03-01,"BALLINA SHIRE COUNCIL",292.763116057234,"New South Wales"
"12",2020-04-01,"BYRON SHIRE COUNCIL",290.183366733467,"New South Wales"
"13",2020-05-01,"BYRON SHIRE COUNCIL",284.00444652469,"New South Wales"
"14",2020-06-01,"BYRON SHIRE COUNCIL",289.01559454191,"New South Wales"
"15",2020-08-01,"BYRON SHIRE COUNCIL",281.74075624578,"New South Wales"
"16",2020-09-01,"BYRON SHIRE COUNCIL",299.939836567926,"New South Wales"
"17",2020-10-01,"BYRON SHIRE COUNCIL",308.187643028434,"New South Wales"
"18",2020-11-01,"BYRON SHIRE COUNCIL",313.066305818674,"New South Wales"
"19",2020-12-01,"BYRON SHIRE COUNCIL",361.387041480974,"New South Wales"
"20",2021-01-01,"BYRON SHIRE COUNCIL",341.869637512471,"New South Wales"
"21",2021-02-01,"BYRON SHIRE COUNCIL",321.330247933884,"New South Wales"
"22",2021-03-01,"BYRON SHIRE COUNCIL",318.438550247117,"New South Wales"
"23",2020-04-01,"CLARENCE VALLEY COUNCIL",204.320474777448,"New South Wales"
"24",2020-05-01,"CLARENCE VALLEY COUNCIL",185.317925591883,"New South Wales"
"25",2020-06-01,"CLARENCE VALLEY COUNCIL",189.688709677419,"New South Wales"
"26",2020-08-01,"CLARENCE VALLEY COUNCIL",193.397212837838,"New South Wales"
"27",2020-09-01,"CLARENCE VALLEY COUNCIL",203.397445378151,"New South Wales"
"28",2020-10-01,"CLARENCE VALLEY COUNCIL",197.17671641791,"New South Wales"
"29",2020-11-01,"CLARENCE VALLEY COUNCIL",201.316393442623,"New South Wales"
"30",2020-12-01,"CLARENCE VALLEY COUNCIL",259.909370199693,"New South Wales"
"31",2021-01-01,"CLARENCE VALLEY COUNCIL",240.385991058122,"New South Wales"
"32",2021-02-01,"CLARENCE VALLEY COUNCIL",211.873887240356,"New South Wales"
"33",2021-03-01,"CLARENCE VALLEY COUNCIL",215.606240713224,"New South Wales"
"34",2020-04-01,"KYOGLE COUNCIL",91,"New South Wales"
"35",2020-05-01,"KYOGLE COUNCIL",138.868686868687,"New South Wales"
"36",2020-06-01,"KYOGLE COUNCIL",141.66,"New South Wales"
"37",2020-08-01,"KYOGLE COUNCIL",152.305,"New South Wales"
"38",2020-09-01,"KYOGLE COUNCIL",150.11320754717,"New South Wales"
"39",2020-10-01,"KYOGLE COUNCIL",164.269230769231,"New South Wales"
"40",2020-11-01,"KYOGLE COUNCIL",165.615384615385,"New South Wales"
"41",2020-12-01,"KYOGLE COUNCIL",173.367346938776,"New South Wales"
"42",2021-01-01,"KYOGLE COUNCIL",172.979166666667,"New South Wales"
"43",2021-02-01,"KYOGLE COUNCIL",159.230769230769,"New South Wales"
"44",2021-03-01,"KYOGLE COUNCIL",157.673076923077,"New South Wales"
"45",2020-04-01,"LISMORE CITY COUNCIL",161.771428571429,"New South Wales"
"46",2020-05-01,"LISMORE CITY COUNCIL",142.48635235732,"New South Wales"
"47",2020-06-01,"LISMORE CITY COUNCIL",143.579646017699,"New South Wales"
"48",2020-08-01,"LISMORE CITY COUNCIL",144.497757847534,"New South Wales"
"49",2020-09-01,"LISMORE CITY COUNCIL",147.893782608696,"New South Wales"
"50",2020-10-01,"LISMORE CITY COUNCIL",145.992651162791,"New South Wales"
"51",2020-11-01,"LISMORE CITY COUNCIL",153.833333333333,"New South Wales"
"52",2020-12-01,"LISMORE CITY COUNCIL",162.129166666667,"New South Wales"
"53",2021-01-01,"LISMORE CITY COUNCIL",153.109243697479,"New South Wales"
"54",2021-02-01,"LISMORE CITY COUNCIL",155.704166666667,"New South Wales"
"55",2021-03-01,"LISMORE CITY COUNCIL",151.879166666667,"New South Wales"
"56",2020-04-01,"RICHMOND VALLEY COUNCIL",109.5,"New South Wales"
"57",2020-05-01,"RICHMOND VALLEY COUNCIL",144.469696969697,"New South Wales"
"58",2020-06-01,"RICHMOND VALLEY COUNCIL",128.90625,"New South Wales"
"59",2020-08-01,"RICHMOND VALLEY COUNCIL",126.129032258065,"New South Wales"
"60",2020-09-01,"RICHMOND VALLEY COUNCIL",137.2409375,"New South Wales"
"61",2020-10-01,"RICHMOND VALLEY COUNCIL",157.705882352941,"New South Wales"
"62",2020-11-01,"RICHMOND VALLEY COUNCIL",189.085714285714,"New South Wales"
"63",2020-12-01,"RICHMOND VALLEY COUNCIL",218,"New South Wales"
"64",2021-01-01,"RICHMOND VALLEY COUNCIL",201.045454545455,"New South Wales"
"65",2021-02-01,"RICHMOND VALLEY COUNCIL",189.619047619048,"New South Wales"
"66",2021-03-01,"RICHMOND VALLEY COUNCIL",190.255319148936,"New South Wales"
"67",2020-04-01,"TWEED SHIRE COUNCIL",317.834874504624,"New South Wales"
"68",2020-05-01,"TWEED SHIRE COUNCIL",266.249293386094,"New South Wales"
"69",2020-06-01,"TWEED SHIRE COUNCIL",280.629268292683,"New South Wales"
"70",2020-08-01,"TWEED SHIRE COUNCIL",265.920057283142,"New South Wales"
"71",2020-09-01,"TWEED SHIRE COUNCIL",290.382385479689,"New South Wales"
"72",2020-10-01,"TWEED SHIRE COUNCIL",284.859765494137,"New South Wales"
"73",2020-11-01,"TWEED SHIRE COUNCIL",279.729233226837,"New South Wales"
"74",2020-12-01,"TWEED SHIRE COUNCIL",344.146592709984,"New South Wales"
"75",2021-01-01,"TWEED SHIRE COUNCIL",325.969488939741,"New South Wales"
"76",2021-02-01,"TWEED SHIRE COUNCIL",295.383107088989,"New South Wales"
"77",2021-03-01,"TWEED SHIRE COUNCIL",304.270880361174,"New South Wales"
