"","months","neighbourhood_cleansed","price","number_of_reviews","review_count_change","city"
"1",2020-05-01,"Ashfield",98.6060606060606,11.2020202020202,NA,"sydney"
"2",2020-05-01,"Auburn",120.655246252677,23.4732334047109,NA,"sydney"
"3",2020-05-01,"Bankstown",87.3498233215548,10.5547703180212,NA,"sydney"
"4",2020-05-01,"Blacktown",80.4025559105431,10.3258785942492,NA,"sydney"
"5",2020-05-01,"Botany Bay",106.801515151515,15.219696969697,NA,"sydney"
"6",2020-05-01,"Burwood",87.8901515151515,8.40151515151515,NA,"sydney"
"7",2020-05-01,"Camden",107.632653061224,14.7959183673469,NA,"sydney"
"8",2020-05-01,"Campbelltown",106.157894736842,14.0701754385965,NA,"sydney"
"9",2020-05-01,"Canada Bay",125.75,10.0945945945946,NA,"sydney"
"10",2020-05-01,"Canterbury",91.4808743169399,10.5136612021858,NA,"sydney"
"11",2020-05-01,"City Of Kogarah",103.527093596059,15.5911330049261,NA,"sydney"
"12",2020-05-01,"Fairfield",86.2173913043478,17.9673913043478,NA,"sydney"
"13",2020-05-01,"Holroyd",93.7373737373737,11.2626262626263,NA,"sydney"
"14",2020-05-01,"Hornsby",110.477168949772,17.648401826484,NA,"sydney"
"15",2020-05-01,"Hunters Hill",164.52380952381,20.6190476190476,NA,"sydney"
"16",2020-05-01,"Hurstville",97.58,10.33,NA,"sydney"
"17",2020-05-01,"Ku-Ring-Gai",125.449367088608,13.9778481012658,NA,"sydney"
"18",2020-05-01,"Lane Cove",124.533333333333,14.3407407407407,NA,"sydney"
"19",2020-05-01,"Leichhardt",158.853121175031,21.3096695226438,NA,"sydney"
"20",2020-05-01,"Liverpool",117.576158940397,13.8609271523179,NA,"sydney"
"21",2020-05-01,"Manly",183.652698863636,13.7578125,NA,"sydney"
"22",2020-05-01,"Marrickville",113.5614927905,15.9151823579304,NA,"sydney"
"23",2020-05-01,"Mosman",170.611859838275,17.3881401617251,NA,"sydney"
"24",2020-05-01,"North Sydney",146.0300081103,15.8037307380373,NA,"sydney"
"25",2020-05-01,"Parramatta",102.298093587522,12.0727902946274,NA,"sydney"
"26",2020-05-01,"Penrith",123.936416184971,25.4104046242775,NA,"sydney"
"27",2020-05-01,"Pittwater",203.965151515152,30.9712121212121,NA,"sydney"
"28",2020-05-01,"Randwick",132.877611940299,9.55024875621891,NA,"sydney"
"29",2020-05-01,"Rockdale",103.942760942761,13.9001122334456,NA,"sydney"
"30",2020-05-01,"Ryde",102.199712643678,11.110632183908,NA,"sydney"
"31",2020-05-01,"Strathfield",85.5714285714286,12.0612244897959,NA,"sydney"
"32",2020-05-01,"Sutherland Shire",152.027833001988,24.6719681908549,NA,"sydney"
"33",2020-05-01,"Sydney",144.305878445699,22.2679065648179,NA,"sydney"
"34",2020-05-01,"The Hills Shire",101.954692556634,17.411003236246,NA,"sydney"
"35",2020-05-01,"Warringah",158.678498293515,10.3986348122867,NA,"sydney"
"36",2020-05-01,"Waverley",157.352875613018,11.6578243423986,NA,"sydney"
"37",2020-05-01,"Willoughby",133.504184100418,11.4497907949791,NA,"sydney"
"38",2020-05-01,"Woollahra",156.604294478528,13.1648773006135,NA,"sydney"
"39",2020-06-01,"Ashfield",98.2491467576792,10.1808873720137,23,"sydney"
"40",2020-06-01,"Auburn",117.838709677419,22.1751152073733,89,"sydney"
"41",2020-06-01,"Bankstown",88.3225806451613,10.6702508960573,41,"sydney"
"42",2020-06-01,"Blacktown",79.0332225913621,11.0066445182724,45,"sydney"
"43",2020-06-01,"Botany Bay",104.936630602782,14.9938176197836,49,"sydney"
"44",2020-06-01,"Burwood",86.1976744186046,8.26356589147287,14,"sydney"
"45",2020-06-01,"Camden",106.76,15.68,14,"sydney"
"46",2020-06-01,"Campbelltown",108.309734513274,14.2035398230088,28,"sydney"
"47",2020-06-01,"Canada Bay",125.336470588235,10.2258823529412,37,"sydney"
"48",2020-06-01,"Canterbury",91.0743801652893,10.2699724517906,26,"sydney"
"49",2020-06-01,"City Of Kogarah",106.490196078431,15.5637254901961,18,"sydney"
"50",2020-06-01,"Fairfield",85.3510638297872,18.1489361702128,37,"sydney"
"51",2020-06-01,"Holroyd",92.5656565656566,10.6060606060606,13,"sydney"
"52",2020-06-01,"Hornsby",107.5,17.8279069767442,80,"sydney"
"53",2020-06-01,"Hunters Hill",163.558139534884,20.4186046511628,2,"sydney"
"54",2020-06-01,"Hurstville",97.1776649746193,10.2791878172589,8,"sydney"
"55",2020-06-01,"Ku-Ring-Gai",125.854838709677,14.1903225806452,32,"sydney"
"56",2020-06-01,"Lane Cove",122.910112359551,14.0674157303371,21,"sydney"
"57",2020-06-01,"Leichhardt",157.766169154229,20.7475124378109,66,"sydney"
"58",2020-06-01,"Liverpool",111.448275862069,13.9172413793103,39,"sydney"
"59",2020-06-01,"Manly",183.390870185449,13.7460770328103,120,"sydney"
"60",2020-06-01,"Marrickville",111.93653516295,15.508576329331,89,"sydney"
"61",2020-06-01,"Mosman",171.891891891892,17.1864864864865,21,"sydney"
"62",2020-06-01,"North Sydney",145.83387888707,15.3854337152209,121,"sydney"
"63",2020-06-01,"Parramatta",102.019927536232,12.2952898550725,83,"sydney"
"64",2020-06-01,"Penrith",123.849397590361,25.6385542168675,86,"sydney"
"65",2020-06-01,"Pittwater",203.966257668712,30.8773006134969,229,"sydney"
"66",2020-06-01,"Randwick",132.211698238617,9.64307078763709,145,"sydney"
"67",2020-06-01,"Rockdale",102.086956521739,13.6281464530892,98,"sydney"
"68",2020-06-01,"Ryde",100.931034482759,11.1379310344828,95,"sydney"
"69",2020-06-01,"Strathfield",84.3096446700508,11.6243654822335,25,"sydney"
"70",2020-06-01,"Sutherland Shire",151.840909090909,25.5681818181818,141,"sydney"
"71",2020-06-01,"Sydney",144.842254479474,21.6594465865276,872,"sydney"
"72",2020-06-01,"The Hills Shire",102.103678929766,16.4715719063545,51,"sydney"
"73",2020-06-01,"Warringah",158.529452529453,10.3943173943174,100,"sydney"
"74",2020-06-01,"Waverley",156.943127962085,11.6531257052584,204,"sydney"
"75",2020-06-01,"Willoughby",132.042105263158,11.7726315789474,62,"sydney"
"76",2020-06-01,"Woollahra",156.373028391167,12.891167192429,58,"sydney"
"77",2020-08-01,"Ashfield",96.9063346613546,10.3665338645418,76,"sydney"
"78",2020-08-01,"Auburn",100.882762762763,19.4114114114114,241,"sydney"
"79",2020-08-01,"Bankstown",89.6128163265306,10.3755102040816,98,"sydney"
"80",2020-08-01,"Blacktown",72.9521167883212,10.5729927007299,139,"sydney"
"81",2020-08-01,"Botany Bay",97.2351318101933,14.8506151142355,177,"sydney"
"82",2020-08-01,"Burwood",85.2632365145228,8.39834024896266,50,"sydney"
"83",2020-08-01,"Camden",112.36170212766,16.6382978723404,61,"sydney"
"84",2020-08-01,"Campbelltown",115.989010989011,15.1428571428571,70,"sydney"
"85",2020-08-01,"Canada Bay",125.535526315789,11.2982456140351,102,"sydney"
"86",2020-08-01,"Canterbury",86.8137254901961,9.86928104575163,36,"sydney"
"87",2020-08-01,"City Of Kogarah",92.3926285714286,17.3028571428571,60,"sydney"
"88",2020-08-01,"Fairfield",82.0568181818182,20.7954545454545,103,"sydney"
"89",2020-08-01,"Holroyd",82.7772619047619,10.1785714285714,44,"sydney"
"90",2020-08-01,"Hornsby",105.580744680851,18.7659574468085,323,"sydney"
"91",2020-08-01,"Hunters Hill",162.918918918919,24.0540540540541,7,"sydney"
"92",2020-08-01,"Hurstville",90.968612716763,9.30635838150289,49,"sydney"
"93",2020-08-01,"Ku-Ring-Gai",124.455923344948,13.7630662020906,120,"sydney"
"94",2020-08-01,"Lane Cove",115.46835443038,15.4767932489451,84,"sydney"
"95",2020-08-01,"Leichhardt",151.181818181818,21.1221590909091,250,"sydney"
"96",2020-08-01,"Liverpool",108.645390070922,14.4397163120567,105,"sydney"
"97",2020-08-01,"Manly",172.429659270998,14.6133122028526,428,"sydney"
"98",2020-08-01,"Marrickville",104.869959183673,15.8081632653061,303,"sydney"
"99",2020-08-01,"Mosman",167.402428115016,18.2779552715655,93,"sydney"
"100",2020-08-01,"North Sydney",139.317292250233,16.0261437908497,456,"sydney"
"101",2020-08-01,"Parramatta",98.6051926977688,13.1034482758621,239,"sydney"
"102",2020-08-01,"Penrith",116.506756756757,25.4324324324324,240,"sydney"
"103",2020-08-01,"Pittwater",202.268944723618,32.9932998324958,1095,"sydney"
"104",2020-08-01,"Randwick",127.172614607615,9.93861693861694,589,"sydney"
"105",2020-08-01,"Rockdale",94.6696391752577,15.0322164948454,339,"sydney"
"106",2020-08-01,"Ryde",92.0268500948767,10.9829222011385,302,"sydney"
"107",2020-08-01,"Strathfield",90.1823529411765,12.0529411764706,48,"sydney"
"108",2020-08-01,"Sutherland Shire",143.400636792453,28.5306603773585,508,"sydney"
"109",2020-08-01,"Sydney",131.492942453855,22.5443811074919,3437,"sydney"
"110",2020-08-01,"The Hills Shire",103.171821305842,17.1958762886598,241,"sydney"
"111",2020-08-01,"Warringah",157.457235387046,11.3909952606635,386,"sydney"
"112",2020-08-01,"Waverley",149.820021378942,11.8776055585249,808,"sydney"
"113",2020-08-01,"Willoughby",120.420909090909,12.7645687645688,166,"sydney"
"114",2020-08-01,"Woollahra",151.805519421861,12.9584462511292,212,"sydney"
"115",2020-09-01,"Ashfield",98.6403571428571,9.78571428571429,31,"sydney"
"116",2020-09-01,"Auburn",104.189760638298,19.4122340425532,52,"sydney"
"117",2020-09-01,"Bankstown",88.1742857142857,11.011583011583,16,"sydney"
"118",2020-09-01,"Blacktown",73.1911743772242,10.4839857651246,34,"sydney"
"119",2020-09-01,"Botany Bay",96.0054028436019,14.3601895734597,30,"sydney"
"120",2020-09-01,"Burwood",87.8935384615385,8.24230769230769,21,"sydney"
"121",2020-09-01,"Camden",110.473125,17.2708333333333,11,"sydney"
"122",2020-09-01,"Campbelltown",107.412551020408,14.8265306122449,17,"sydney"
