"","months","price","number_of_reviews","review_count_change","city"
"1",2020-05-01,157.54628666528,59.7551487414188,NA,"Tasmania"
"2",2020-06-01,157.555905842791,59.3341740226986,419,"Tasmania"
"3",2020-07-01,157.280627384485,59.3437897414159,1991,"Tasmania"
"4",2020-08-01,151.067296951609,59.4807077382221,4355,"Tasmania"
"5",2020-09-01,153.105344086022,59.9804301075269,2130,"Tasmania"
"6",2020-10-01,156.187947826087,60.2386956521739,3732,"Tasmania"
"7",2020-11-01,159.231346578366,59.7273730684327,4135,"Tasmania"
"8",2020-12-01,167.451868629672,60.0380520951302,6362,"Tasmania"
"9",2021-01-01,172.250795093139,61.0454338936847,7697,"Tasmania"
"10",2021-02-01,168.997098214286,62.4674107142857,10267,"Tasmania"
"11",2021-03-01,169.637485970819,63.497418630752,7193,"Tasmania"
"12",2021-04-01,172.766292134831,65.5847191011236,12979,"Tasmania"
