"","months","neighbourhood_cleansed","price"
"1",2020-05-01,"ALBANY",174.904761904762
"2",2020-06-01,"ALBANY",174.952380952381
"3",2020-10-01,"ALBANY",180.899665551839
"4",2020-11-01,"ALBANY",182.177993527508
"5",2020-12-01,"ALBANY",216.059210526316
"6",2021-01-01,"ALBANY",206.660256410256
"7",2021-02-01,"ALBANY",200.790476190476
"8",2021-03-01,"ALBANY",197.076923076923
"9",2021-04-01,"ALBANY",180.518518518519
"10",2020-05-01,"ARMADALE",89.8791208791209
"11",2020-06-01,"ARMADALE",89.3406593406593
"12",2020-10-01,"ARMADALE",96.32
"13",2020-11-01,"ARMADALE",97.7945205479452
"14",2020-12-01,"ARMADALE",107.25
"15",2021-01-01,"ARMADALE",104.782608695652
"16",2021-02-01,"ARMADALE",105.970149253731
"17",2021-03-01,"ARMADALE",105.84126984127
"18",2021-04-01,"ARMADALE",113.2
"19",2020-05-01,"ASHBURTON",200
"20",2020-06-01,"ASHBURTON",190
"21",2020-12-01,"ASHBURTON",178.333333333333
"22",2021-01-01,"ASHBURTON",178.333333333333
"23",2021-02-01,"ASHBURTON",178.333333333333
"24",2021-03-01,"ASHBURTON",178.333333333333
"25",2020-05-01,"AUGUSTA-MARGARET RIVER",212.717948717949
"26",2020-06-01,"AUGUSTA-MARGARET RIVER",212.6
"27",2020-10-01,"AUGUSTA-MARGARET RIVER",224.162011173184
"28",2020-11-01,"AUGUSTA-MARGARET RIVER",222.78463648834
"29",2020-12-01,"AUGUSTA-MARGARET RIVER",242.682108626198
"30",2021-01-01,"AUGUSTA-MARGARET RIVER",236.534361851332
"31",2021-02-01,"AUGUSTA-MARGARET RIVER",234.354794520548
"32",2021-03-01,"AUGUSTA-MARGARET RIVER",230.045588235294
"33",2021-04-01,"AUGUSTA-MARGARET RIVER",195.666666666667
"34",2020-05-01,"BASSENDEAN",79.6969696969697
"35",2020-06-01,"BASSENDEAN",79.6060606060606
"36",2020-10-01,"BASSENDEAN",81.448275862069
"37",2020-11-01,"BASSENDEAN",83.2758620689655
"38",2020-12-01,"BASSENDEAN",95.3793103448276
"39",2021-01-01,"BASSENDEAN",86
"40",2021-02-01,"BASSENDEAN",86
"41",2021-03-01,"BASSENDEAN",86.7857142857143
"42",2020-05-01,"BAYSWATER",89.9917355371901
"43",2020-06-01,"BAYSWATER",88.0327868852459
"44",2020-10-01,"BAYSWATER",89.4797687861272
"45",2020-11-01,"BAYSWATER",93.5505617977528
"46",2020-12-01,"BAYSWATER",105.977272727273
"47",2021-01-01,"BAYSWATER",98.6959064327485
"48",2021-02-01,"BAYSWATER",97.5714285714286
"49",2021-03-01,"BAYSWATER",93.0596026490066
"50",2021-04-01,"BAYSWATER",139.666666666667
"51",2020-05-01,"BELMONT",93.8639240506329
"52",2020-06-01,"BELMONT",94.3343653250774
"53",2020-10-01,"BELMONT",100.731404958678
"54",2020-11-01,"BELMONT",103.553278688525
"55",2020-12-01,"BELMONT",113.417021276596
"56",2021-01-01,"BELMONT",118.330434782609
"57",2021-02-01,"BELMONT",119.466367713004
"58",2021-03-01,"BELMONT",123.086124401914
"59",2021-04-01,"BELMONT",87.5
"60",2020-05-01,"BEVERLEY",143.833333333333
"61",2020-06-01,"BEVERLEY",128
"62",2020-10-01,"BEVERLEY",140
"63",2020-11-01,"BEVERLEY",150
"64",2020-12-01,"BEVERLEY",157
"65",2021-01-01,"BEVERLEY",156
"66",2021-02-01,"BEVERLEY",157
"67",2021-03-01,"BEVERLEY",157
"68",2020-05-01,"BODDINGTON",83
"69",2020-06-01,"BODDINGTON",76.6666666666667
"70",2020-10-01,"BODDINGTON",114
"71",2020-11-01,"BODDINGTON",114
"72",2020-12-01,"BODDINGTON",116
"73",2021-01-01,"BODDINGTON",96.3333333333333
"74",2021-02-01,"BODDINGTON",98
"75",2021-03-01,"BODDINGTON",99.6666666666667
"76",2020-05-01,"BOYUP BROOK",208.5
"77",2020-06-01,"BOYUP BROOK",207.5
"78",2020-10-01,"BOYUP BROOK",191.5
"79",2020-11-01,"BOYUP BROOK",191.5
